transaction_id,amount,transaction_type,merchant_category,time_of_day
3252,566,POS,Clothing,Evening
3253,1681,ATM Withdrawal,Groceries,Morning
3254,1002,POS,Travel,Evening
3255,1638,ATM Withdrawal,Travel,Night
3256,1701,Bank Transfer,Groceries,Afternoon
3257,4862,POS,Electronics,Night
3258,1114,ATM Withdrawal,Travel,Night
3259,1280,Bank Transfer,Clothing,Morning
3260,2912,POS,Electronics,Afternoon
3261,4754,Online,Groceries,Night
3262,1419,POS,Dining,Afternoon
3263,3656,POS,Travel,Evening
3264,1340,POS,Dining,Morning
3265,4733,Online,Cash,Afternoon
3266,2064,ATM Withdrawal,Clothing,Afternoon
3267,963,ATM Withdrawal,Electronics,Morning
3268,1852,Online,Dining,Evening
3269,2812,POS,Clothing,Afternoon
3270,19,POS,Dining,Morning
3271,2619,POS,Dining,Night
3272,131,ATM Withdrawal,Clothing,Morning
3273,4792,ATM Withdrawal,Travel,Night
3274,2570,Online,Dining,Afternoon
3275,3047,Bank Transfer,Clothing,Afternoon
3276,450,Online,Dining,Afternoon
3277,2759,ATM Withdrawal,Travel,Evening
3278,600,POS,Clothing,Evening
3279,1378,POS,Dining,Night
3280,1999,POS,Groceries,Morning
3281,1371,POS,Travel,Night
3282,3783,Bank Transfer,Dining,Morning
3283,2074,Online,Electronics,Afternoon
3284,2425,Online,Clothing,Morning
3285,2961,ATM Withdrawal,Dining,Evening
3286,2778,Online,Travel,Morning
3287,3426,Bank Transfer,Travel,Morning
3288,1586,Bank Transfer,Electronics,Afternoon
3289,124,Bank Transfer,Electronics,Afternoon
3290,1378,POS,Cash,Evening
3291,148,ATM Withdrawal,Cash,Morning
3292,4933,Bank Transfer,Dining,Morning
3293,4951,Online,Groceries,Morning
3294,3383,Online,Travel,Afternoon
3295,1325,Online,Groceries,Evening
3296,83,Bank Transfer,Groceries,Morning
3297,3856,Bank Transfer,Dining,Morning
3298,493,Online,Clothing,Morning
3299,4121,Bank Transfer,Clothing,Morning
3300,1559,Online,Clothing,Evening
3301,1369,POS,Electronics,Evening
3302,1906,Bank Transfer,Travel,Evening
3303,4234,POS,Electronics,Afternoon
3304,520,POS,Travel,Morning
3305,432,Bank Transfer,Cash,Morning
3306,2442,Online,Travel,Morning
3307,1916,ATM Withdrawal,Travel,Morning
3308,4337,POS,Dining,Night
3309,968,Bank Transfer,Clothing,Evening
3310,834,POS,Electronics,Night
3311,74,Online,Cash,Night
3312,4938,Bank Transfer,Electronics,Afternoon
3313,4720,ATM Withdrawal,Dining,Afternoon
3314,3358,Bank Transfer,Travel,Morning
3315,810,POS,Cash,Night
3316,287,Bank Transfer,Clothing,Night
3317,1727,Bank Transfer,Groceries,Evening
3318,2423,POS,Groceries,Night
3319,1248,ATM Withdrawal,Dining,Afternoon
3320,4533,Online,Clothing,Night
3321,1496,Bank Transfer,Groceries,Afternoon
3322,4691,ATM Withdrawal,Groceries,Morning
3323,3308,Online,Cash,Afternoon
3324,4480,POS,Cash,Morning
3325,3005,ATM Withdrawal,Electronics,Evening
3326,102,ATM Withdrawal,Clothing,Morning
3327,3541,Bank Transfer,Groceries,Night
3328,1850,POS,Cash,Afternoon
3329,3537,Bank Transfer,Cash,Morning
3330,1631,POS,Cash,Morning
3331,1571,Online,Electronics,Morning
3332,1426,Bank Transfer,Clothing,Morning
3333,2974,POS,Travel,Morning
3334,4200,POS,Cash,Morning
3335,1140,ATM Withdrawal,Clothing,Afternoon
3336,1423,Bank Transfer,Dining,Night
3337,3607,Bank Transfer,Electronics,Night
3338,3754,Online,Travel,Morning
3339,2128,POS,Cash,Afternoon
3340,673,ATM Withdrawal,Cash,Morning
3341,2644,POS,Electronics,Evening
3342,2784,POS,Electronics,Night
3343,3979,POS,Groceries,Morning
3344,3500,Bank Transfer,Cash,Afternoon
3345,1581,POS,Clothing,Night
3346,1533,Online,Electronics,Afternoon
3347,997,ATM Withdrawal,Electronics,Evening
3348,3248,ATM Withdrawal,Dining,Morning
3349,3855,POS,Dining,Evening
3350,3703,ATM Withdrawal,Dining,Night
3351,108,POS,Electronics,Morning
3352,2298,Bank Transfer,Travel,Night
3353,1524,ATM Withdrawal,Clothing,Morning
3354,4307,Bank Transfer,Electronics,Afternoon
3355,643,Bank Transfer,Groceries,Night
3356,4851,Online,Cash,Evening
3357,4595,Online,Travel,Evening
3358,588,ATM Withdrawal,Travel,Afternoon
3359,3969,POS,Clothing,Afternoon
3360,282,POS,Travel,Evening
3361,4891,POS,Clothing,Afternoon
3362,3964,POS,Travel,Morning
3363,3937,Online,Cash,Evening
3364,462,POS,Clothing,Night
3365,1185,POS,Dining,Evening
3366,4921,Bank Transfer,Dining,Afternoon
3367,423,POS,Travel,Morning
3368,1560,POS,Travel,Night
3369,4536,Online,Clothing,Evening
3370,1956,ATM Withdrawal,Clothing,Evening
3371,201,Bank Transfer,Cash,Night
3372,50,Bank Transfer,Electronics,Morning
3373,1869,ATM Withdrawal,Dining,Afternoon
3374,1342,Bank Transfer,Electronics,Afternoon
3375,3459,POS,Electronics,Afternoon
3376,145,POS,Groceries,Afternoon
3377,4211,ATM Withdrawal,Clothing,Night
3378,4624,Online,Groceries,Morning
3379,1951,Online,Groceries,Morning
3380,1575,Bank Transfer,Electronics,Evening
3381,4231,Online,Groceries,Evening
3382,398,Online,Cash,Morning
3383,1568,Online,Clothing,Evening
3384,2131,Online,Electronics,Morning
3385,1038,Online,Clothing,Night
3386,3544,Online,Cash,Night
3387,91,Online,Travel,Afternoon
3388,785,Bank Transfer,Groceries,Morning
3389,3048,POS,Electronics,Night
3390,4383,Online,Dining,Morning
3391,2897,POS,Clothing,Evening
3392,1888,ATM Withdrawal,Cash,Morning
3393,2281,POS,Groceries,Afternoon
3394,1617,ATM Withdrawal,Clothing,Afternoon
3395,3149,Bank Transfer,Cash,Night
3396,615,POS,Clothing,Evening
3397,4745,ATM Withdrawal,Travel,Evening
3398,3424,POS,Cash,Morning
3399,3675,Bank Transfer,Clothing,Evening
3400,2154,POS,Travel,Afternoon
3401,4280,ATM Withdrawal,Travel,Night
3402,3775,Online,Travel,Night
3403,1386,Online,Groceries,Night
3404,3472,Online,Cash,Evening
3405,357,Bank Transfer,Clothing,Evening
3406,10,Online,Clothing,Afternoon
3407,72,Bank Transfer,Cash,Morning
3408,1793,Online,Travel,Morning
3409,3824,Bank Transfer,Clothing,Night
3410,235,Bank Transfer,Clothing,Night
3411,1052,POS,Travel,Evening
3412,854,Online,Dining,Night
3413,2690,POS,Dining,Afternoon
3414,4129,ATM Withdrawal,Travel,Afternoon
3415,1244,Online,Groceries,Night
3416,1994,Online,Clothing,Night
3417,4266,Online,Clothing,Night
3418,1288,Online,Dining,Night
3419,1604,POS,Travel,Night
3420,2561,POS,Cash,Afternoon
3421,1962,Bank Transfer,Cash,Morning
3422,1705,POS,Groceries,Afternoon
3423,964,Bank Transfer,Travel,Afternoon
3424,3301,ATM Withdrawal,Dining,Night
3425,366,POS,Dining,Morning
3426,3605,Bank Transfer,Clothing,Night
3427,978,Online,Electronics,Afternoon
3428,251,ATM Withdrawal,Groceries,Morning
3429,3456,Bank Transfer,Groceries,Evening
3430,4244,ATM Withdrawal,Electronics,Night
3431,2154,Online,Cash,Evening
3432,156,Online,Cash,Evening
3433,552,Bank Transfer,Cash,Evening
3434,701,Bank Transfer,Dining,Evening
3435,1035,Online,Travel,Morning
3436,4060,Bank Transfer,Groceries,Night
3437,4015,Online,Electronics,Morning
3438,3369,POS,Clothing,Night
3439,2961,Bank Transfer,Clothing,Night
3440,739,ATM Withdrawal,Dining,Night
3441,4509,Online,Groceries,Morning
3442,2565,POS,Travel,Afternoon
3443,1160,Bank Transfer,Groceries,Evening
3444,1745,Online,Cash,Afternoon
3445,1048,POS,Clothing,Afternoon
3446,2922,Bank Transfer,Groceries,Afternoon
3447,4850,Online,Clothing,Evening
3448,2550,Online,Electronics,Afternoon
3449,4424,Online,Electronics,Evening
3450,1252,Bank Transfer,Clothing,Evening
3451,782,POS,Travel,Evening
3452,1926,Online,Travel,Night
3453,3422,POS,Groceries,Night
3454,2509,POS,Clothing,Afternoon
3455,3450,ATM Withdrawal,Dining,Night
3456,3555,POS,Travel,Evening
3457,1223,POS,Travel,Night
3458,2941,POS,Cash,Evening
3459,428,POS,Electronics,Morning
3460,3791,POS,Travel,Night
3461,4970,Bank Transfer,Travel,Afternoon
3462,798,ATM Withdrawal,Cash,Morning
3463,1881,Online,Travel,Morning
3464,4600,ATM Withdrawal,Cash,Night
3465,2035,ATM Withdrawal,Clothing,Night
3466,2456,Online,Clothing,Afternoon
3467,4833,POS,Electronics,Morning
3468,570,Online,Groceries,Evening
3469,2661,POS,Cash,Night
3470,3914,Online,Travel,Morning
3471,549,Bank Transfer,Groceries,Morning
3472,4765,ATM Withdrawal,Clothing,Evening
3473,3146,POS,Travel,Morning
3474,3299,ATM Withdrawal,Groceries,Night
3475,2620,POS,Cash,Evening
3476,4922,Online,Cash,Night
3477,1954,Online,Groceries,Afternoon
3478,3155,Online,Cash,Morning
3479,2768,Bank Transfer,Dining,Night
3480,3270,Online,Clothing,Night
3481,4117,Online,Electronics,Afternoon
3482,1905,Bank Transfer,Electronics,Morning
3483,2510,ATM Withdrawal,Dining,Night
3484,2839,ATM Withdrawal,Groceries,Evening
3485,3883,POS,Cash,Night
3486,57,ATM Withdrawal,Dining,Night
3487,2374,POS,Dining,Night
3488,2266,POS,Cash,Night
3489,4682,ATM Withdrawal,Clothing,Morning
3490,763,ATM Withdrawal,Cash,Night
3491,2812,Bank Transfer,Cash,Afternoon
3492,4659,POS,Travel,Night
3493,3662,ATM Withdrawal,Groceries,Evening
3494,412,ATM Withdrawal,Electronics,Evening
3495,2096,Bank Transfer,Electronics,Night
3496,2237,ATM Withdrawal,Dining,Night
3497,3420,Online,Dining,Afternoon
3498,3000,Online,Dining,Afternoon
3499,4653,POS,Groceries,Morning
3500,1159,Bank Transfer,Dining,Morning
3501,72,ATM Withdrawal,Dining,Evening
3502,4949,POS,Travel,Night
3503,3163,ATM Withdrawal,Groceries,Night
3504,1018,Online,Clothing,Afternoon
3505,2041,ATM Withdrawal,Clothing,Afternoon
3506,1332,ATM Withdrawal,Cash,Morning
3507,2091,ATM Withdrawal,Travel,Morning
3508,761,Online,Electronics,Evening
3509,4154,Online,Cash,Afternoon
3510,667,Bank Transfer,Clothing,Night
3511,1670,Online,Groceries,Afternoon
3512,710,POS,Electronics,Afternoon
3513,1090,ATM Withdrawal,Dining,Afternoon
3514,2166,Online,Groceries,Morning
3515,1550,POS,Electronics,Night
3516,3042,Online,Clothing,Night
3517,1993,ATM Withdrawal,Cash,Morning
3518,324,POS,Dining,Morning
3519,3091,Online,Dining,Night
3520,4743,Online,Groceries,Evening
3521,2324,POS,Cash,Afternoon
3522,2145,Bank Transfer,Dining,Night
3523,1659,POS,Electronics,Morning
3524,3229,POS,Travel,Night
3525,3810,POS,Clothing,Afternoon
3526,2488,POS,Groceries,Night
3527,4077,Online,Cash,Morning
3528,1785,POS,Travel,Evening
3529,1976,POS,Travel,Morning
3530,1777,ATM Withdrawal,Groceries,Evening
3531,3825,Online,Electronics,Afternoon
3532,251,ATM Withdrawal,Cash,Morning
3533,4807,Online,Clothing,Night
3534,2959,Bank Transfer,Groceries,Morning
3535,4846,Bank Transfer,Cash,Morning
3536,4886,Online,Travel,Afternoon
3537,2266,Bank Transfer,Travel,Evening
3538,4121,Bank Transfer,Groceries,Evening
3539,3378,Online,Cash,Night
3540,376,POS,Travel,Morning
3541,2837,ATM Withdrawal,Groceries,Afternoon
3542,1262,Online,Groceries,Evening
3543,2497,Online,Clothing,Night
3544,4795,Online,Groceries,Evening
3545,3613,ATM Withdrawal,Cash,Night
3546,3531,Online,Cash,Evening
3547,4952,ATM Withdrawal,Travel,Night
3548,4527,ATM Withdrawal,Dining,Evening
3549,1653,Bank Transfer,Clothing,Evening
3550,1222,POS,Cash,Morning
3551,4713,Bank Transfer,Travel,Night
3552,29,Online,Travel,Night
3553,685,Online,Clothing,Morning
3554,4487,ATM Withdrawal,Clothing,Morning
3555,618,Bank Transfer,Travel,Evening
3556,71,ATM Withdrawal,Dining,Evening
3557,1275,Bank Transfer,Electronics,Evening
3558,2295,Bank Transfer,Travel,Morning
3559,1164,Bank Transfer,Clothing,Evening
3560,1638,Bank Transfer,Groceries,Morning
3561,1636,Bank Transfer,Groceries,Evening
3562,3726,POS,Clothing,Morning
3563,1452,Online,Clothing,Night
3564,1663,Bank Transfer,Electronics,Afternoon
3565,2512,Bank Transfer,Cash,Evening
3566,3279,ATM Withdrawal,Clothing,Evening
3567,291,Online,Groceries,Morning
3568,4991,Online,Dining,Night
3569,1034,Online,Clothing,Night
3570,4828,Bank Transfer,Electronics,Evening
3571,3413,ATM Withdrawal,Dining,Morning
3572,1245,Online,Electronics,Morning
3573,4192,ATM Withdrawal,Dining,Afternoon
3574,4770,POS,Clothing,Night
3575,4967,POS,Groceries,Afternoon
3576,795,ATM Withdrawal,Dining,Night
3577,3327,Bank Transfer,Travel,Evening
3578,1677,Online,Cash,Evening
3579,3018,POS,Electronics,Morning
3580,3204,POS,Dining,Morning
3581,4799,ATM Withdrawal,Electronics,Morning
3582,3785,Bank Transfer,Groceries,Night
3583,2456,ATM Withdrawal,Electronics,Morning
3584,3800,ATM Withdrawal,Electronics,Evening
3585,543,ATM Withdrawal,Travel,Afternoon
3586,411,ATM Withdrawal,Electronics,Evening
3587,3673,ATM Withdrawal,Dining,Evening
3588,139,Bank Transfer,Electronics,Evening
3589,2349,ATM Withdrawal,Clothing,Afternoon
3590,4381,Bank Transfer,Electronics,Evening
3591,2969,Online,Clothing,Night
3592,1868,Online,Cash,Night
3593,2983,Online,Electronics,Afternoon
3594,4160,Online,Cash,Night
3595,3659,POS,Electronics,Morning
3596,2796,Bank Transfer,Dining,Night
3597,3107,Online,Clothing,Evening
3598,3522,POS,Cash,Night
3599,4870,Bank Transfer,Cash,Morning
3600,1230,POS,Clothing,Morning
3601,651,POS,Travel,Morning
3602,3324,ATM Withdrawal,Electronics,Evening
3603,733,POS,Electronics,Morning
3604,4907,POS,Dining,Evening
3605,747,Bank Transfer,Travel,Morning
3606,4863,POS,Travel,Evening
3607,1309,ATM Withdrawal,Dining,Evening
3608,3490,Online,Cash,Evening
3609,349,Online,Clothing,Night
3610,162,Bank Transfer,Cash,Morning
3611,1431,Bank Transfer,Groceries,Evening
3612,3061,POS,Dining,Morning
3613,436,Bank Transfer,Clothing,Night
3614,3568,POS,Cash,Afternoon
3615,1145,Bank Transfer,Cash,Morning
3616,2382,Online,Travel,Morning
3617,3339,Online,Dining,Night
3618,959,Online,Groceries,Evening
3619,1383,Online,Electronics,Morning
3620,966,POS,Dining,Afternoon
3621,1711,POS,Groceries,Night
3622,2951,POS,Groceries,Evening
3623,2492,Online,Dining,Morning
3624,1313,ATM Withdrawal,Clothing,Morning
3625,380,Online,Dining,Night
3626,2990,Online,Cash,Evening
3627,2306,ATM Withdrawal,Travel,Evening
3628,4808,ATM Withdrawal,Cash,Night
3629,2135,Bank Transfer,Groceries,Morning
3630,2976,Online,Groceries,Morning
3631,4155,ATM Withdrawal,Electronics,Evening
3632,2752,Bank Transfer,Groceries,Evening
3633,4031,ATM Withdrawal,Electronics,Afternoon
3634,2374,ATM Withdrawal,Groceries,Afternoon
3635,772,Bank Transfer,Groceries,Afternoon
3636,4072,Online,Dining,Evening
3637,1014,Bank Transfer,Dining,Evening
3638,3765,Online,Travel,Evening
3639,2856,ATM Withdrawal,Cash,Morning
3640,359,Bank Transfer,Clothing,Night
3641,2974,POS,Travel,Evening
3642,696,ATM Withdrawal,Groceries,Morning
3643,4647,Bank Transfer,Travel,Evening
3644,3136,ATM Withdrawal,Dining,Night
3645,4466,Bank Transfer,Cash,Evening
3646,2765,Online,Groceries,Morning
3647,3534,POS,Groceries,Evening
3648,3634,ATM Withdrawal,Travel,Evening
3649,2742,POS,Cash,Evening
3650,1703,Online,Electronics,Afternoon
3651,2902,Bank Transfer,Clothing,Evening
3652,3821,POS,Cash,Morning
3653,4190,Bank Transfer,Travel,Morning
3654,694,Online,Travel,Morning
3655,4350,ATM Withdrawal,Clothing,Evening
3656,2929,Online,Groceries,Night
3657,3766,POS,Groceries,Morning
3658,3293,POS,Electronics,Afternoon
3659,4701,POS,Travel,Night
3660,4036,Bank Transfer,Clothing,Morning
3661,1166,ATM Withdrawal,Travel,Evening
3662,3071,POS,Dining,Afternoon
3663,4455,POS,Travel,Morning
3664,2339,POS,Travel,Afternoon
3665,1302,Online,Dining,Night
3666,1894,POS,Dining,Morning
3667,1570,Online,Clothing,Evening
3668,993,POS,Groceries,Afternoon
3669,2077,Online,Electronics,Morning
3670,1873,Bank Transfer,Dining,Night
3671,1989,Bank Transfer,Groceries,Night
3672,1746,Online,Clothing,Morning
3673,2462,ATM Withdrawal,Cash,Night
3674,1928,ATM Withdrawal,Travel,Afternoon
3675,710,Online,Clothing,Afternoon
3676,4056,Bank Transfer,Clothing,Afternoon
3677,2083,Online,Dining,Afternoon
3678,4671,ATM Withdrawal,Electronics,Night
3679,3763,Online,Dining,Morning
3680,404,Bank Transfer,Travel,Night
3681,1966,ATM Withdrawal,Dining,Night
3682,3058,ATM Withdrawal,Travel,Morning
3683,3462,POS,Dining,Morning
3684,532,POS,Cash,Evening
3685,1572,ATM Withdrawal,Electronics,Afternoon
3686,2919,ATM Withdrawal,Cash,Morning
3687,2859,Online,Groceries,Night
3688,559,Bank Transfer,Electronics,Afternoon
3689,1478,ATM Withdrawal,Dining,Afternoon
3690,842,Bank Transfer,Clothing,Night
3691,4492,ATM Withdrawal,Groceries,Morning
3692,1431,Bank Transfer,Clothing,Afternoon
3693,295,POS,Cash,Afternoon
3694,2755,ATM Withdrawal,Electronics,Afternoon
3695,3775,Online,Groceries,Afternoon
3696,4474,Bank Transfer,Cash,Afternoon
3697,1455,ATM Withdrawal,Dining,Night
3698,1476,POS,Clothing,Morning
3699,1786,POS,Dining,Morning
3700,3665,POS,Travel,Afternoon
3701,924,POS,Groceries,Afternoon
3702,297,ATM Withdrawal,Clothing,Afternoon
3703,4200,Online,Electronics,Night
3704,2098,Bank Transfer,Electronics,Night
3705,4436,Online,Electronics,Evening
3706,1814,Bank Transfer,Cash,Afternoon
3707,1188,Online,Electronics,Evening
3708,2561,ATM Withdrawal,Clothing,Evening
3709,4380,ATM Withdrawal,Cash,Evening
3710,1598,Bank Transfer,Travel,Morning
3711,1966,ATM Withdrawal,Electronics,Evening
3712,1785,Bank Transfer,Electronics,Afternoon
3713,4872,Online,Cash,Night
3714,997,ATM Withdrawal,Electronics,Afternoon
3715,1213,ATM Withdrawal,Travel,Night
3716,3340,Bank Transfer,Cash,Morning
3717,1129,Bank Transfer,Cash,Morning
3718,206,Bank Transfer,Groceries,Afternoon
3719,3985,Bank Transfer,Cash,Morning
3720,535,POS,Electronics,Night
3721,4737,Bank Transfer,Cash,Morning
3722,1420,POS,Electronics,Evening
3723,4513,Online,Electronics,Evening
3724,1302,Bank Transfer,Cash,Morning
3725,1204,POS,Groceries,Afternoon
3726,1958,POS,Electronics,Evening
3727,3665,POS,Groceries,Night
3728,4796,ATM Withdrawal,Groceries,Afternoon
3729,2227,POS,Cash,Morning
3730,4264,Bank Transfer,Dining,Afternoon
3731,3590,Bank Transfer,Dining,Afternoon
3732,1027,Bank Transfer,Electronics,Afternoon
3733,3163,POS,Clothing,Afternoon
3734,3600,POS,Dining,Morning
3735,4217,ATM Withdrawal,Cash,Morning
3736,4079,Online,Cash,Evening
3737,57,ATM Withdrawal,Dining,Evening
3738,3673,Bank Transfer,Clothing,Night
3739,4481,Bank Transfer,Travel,Night
3740,837,Bank Transfer,Electronics,Evening
3741,4732,ATM Withdrawal,Travel,Evening
3742,2099,Bank Transfer,Travel,Afternoon
3743,2066,Bank Transfer,Groceries,Evening
3744,828,Bank Transfer,Groceries,Night
3745,4762,POS,Electronics,Evening
3746,3994,Online,Clothing,Afternoon
3747,3690,POS,Groceries,Night
3748,1821,POS,Dining,Morning
3749,4895,Online,Electronics,Evening
3750,3124,Online,Cash,Morning
3751,1639,ATM Withdrawal,Travel,Night
3752,1553,Online,Electronics,Evening
3753,3589,ATM Withdrawal,Cash,Morning
3754,1914,ATM Withdrawal,Cash,Evening
3755,1446,POS,Groceries,Morning
3756,3327,Bank Transfer,Cash,Morning
3757,3530,POS,Clothing,Night
3758,3069,POS,Cash,Evening
3759,4126,Online,Cash,Morning
3760,1008,Online,Travel,Evening
3761,1441,ATM Withdrawal,Clothing,Evening
3762,4562,ATM Withdrawal,Electronics,Afternoon
3763,3071,ATM Withdrawal,Clothing,Night
3764,274,Online,Clothing,Evening
3765,3741,ATM Withdrawal,Electronics,Evening
3766,2284,ATM Withdrawal,Travel,Evening
3767,3885,Online,Cash,Night
3768,3327,Bank Transfer,Clothing,Night
3769,2056,POS,Clothing,Evening
3770,3154,Online,Electronics,Night
3771,3231,ATM Withdrawal,Dining,Afternoon
3772,3150,POS,Clothing,Night
3773,4910,Online,Groceries,Afternoon
3774,1263,POS,Cash,Afternoon
3775,732,POS,Cash,Afternoon
3776,93,Bank Transfer,Travel,Morning
3777,4845,ATM Withdrawal,Clothing,Night
3778,3380,Online,Electronics,Evening
3779,3829,ATM Withdrawal,Groceries,Afternoon
3780,3374,Bank Transfer,Electronics,Evening
3781,1767,Bank Transfer,Clothing,Afternoon
3782,4328,Online,Groceries,Evening
3783,2790,Online,Travel,Morning
3784,3297,Bank Transfer,Travel,Afternoon
3785,2462,Online,Travel,Morning
3786,338,POS,Dining,Morning
3787,435,POS,Electronics,Night
3788,779,Bank Transfer,Clothing,Evening
3789,3985,ATM Withdrawal,Groceries,Afternoon
3790,617,Online,Cash,Morning
3791,1862,Online,Cash,Evening
3792,2682,POS,Electronics,Night
3793,2134,Online,Clothing,Evening
3794,1310,ATM Withdrawal,Dining,Evening
3795,475,Online,Clothing,Night
3796,1974,Online,Electronics,Night
3797,1955,POS,Clothing,Night
3798,2549,Online,Cash,Morning
3799,2370,Bank Transfer,Cash,Evening
3800,2049,Bank Transfer,Groceries,Night
3801,1194,ATM Withdrawal,Dining,Evening
3802,3944,ATM Withdrawal,Cash,Evening
3803,3227,ATM Withdrawal,Groceries,Morning
3804,2792,ATM Withdrawal,Dining,Evening
3805,787,POS,Cash,Morning
3806,3389,Online,Dining,Night
3807,2428,POS,Clothing,Night
3808,4087,ATM Withdrawal,Groceries,Evening
3809,4272,Online,Dining,Morning
3810,2449,Bank Transfer,Dining,Morning
3811,4841,POS,Clothing,Afternoon
3812,1999,Online,Cash,Afternoon
3813,1076,Bank Transfer,Cash,Night
3814,954,Bank Transfer,Electronics,Night
3815,38,ATM Withdrawal,Electronics,Afternoon
3816,1907,Bank Transfer,Cash,Morning
3817,1707,Bank Transfer,Travel,Evening
3818,2824,ATM Withdrawal,Travel,Evening
3819,3375,Online,Dining,Morning
3820,2498,Online,Cash,Night
3821,1675,ATM Withdrawal,Electronics,Evening
3822,4629,POS,Dining,Morning
3823,1580,ATM Withdrawal,Groceries,Evening
3824,1743,Online,Electronics,Morning
3825,769,POS,Electronics,Afternoon
3826,2167,ATM Withdrawal,Electronics,Afternoon
3827,1361,Online,Travel,Evening
3828,3486,Online,Clothing,Evening
3829,1278,Online,Clothing,Evening
3830,1795,Bank Transfer,Travel,Evening
3831,3959,Bank Transfer,Cash,Afternoon
3832,2617,POS,Cash,Afternoon
3833,408,POS,Travel,Morning
3834,2640,POS,Travel,Evening
3835,2456,Bank Transfer,Cash,Afternoon
3836,1679,POS,Clothing,Night
3837,248,Online,Dining,Morning
3838,3546,Online,Travel,Morning
3839,3871,POS,Dining,Morning
3840,3113,POS,Dining,Night
3841,1156,Bank Transfer,Groceries,Night
3842,1567,Online,Clothing,Night
3843,3748,ATM Withdrawal,Dining,Afternoon
3844,2167,ATM Withdrawal,Clothing,Night
3845,3461,Bank Transfer,Clothing,Morning
3846,309,Bank Transfer,Groceries,Evening
3847,3708,Bank Transfer,Cash,Morning
3848,4063,Online,Clothing,Morning
3849,4869,POS,Dining,Afternoon
3850,258,POS,Cash,Morning
3851,2578,Bank Transfer,Cash,Afternoon
3852,4139,Online,Electronics,Afternoon
3853,4333,ATM Withdrawal,Dining,Evening
3854,4690,Bank Transfer,Dining,Morning
3855,2870,Online,Clothing,Evening
3856,733,Bank Transfer,Dining,Evening
3857,579,Online,Electronics,Morning
3858,229,Online,Clothing,Morning
3859,1404,Bank Transfer,Travel,Night
3860,2844,POS,Dining,Night
3861,2132,Bank Transfer,Dining,Afternoon
3862,4241,POS,Groceries,Morning
3863,4010,POS,Travel,Afternoon
3864,4359,ATM Withdrawal,Travel,Evening
3865,3099,Online,Electronics,Evening
3866,59,Bank Transfer,Travel,Night
3867,524,Online,Groceries,Afternoon
3868,2801,ATM Withdrawal,Electronics,Morning
3869,2788,POS,Travel,Morning
3870,2628,Bank Transfer,Electronics,Night
3871,1847,Online,Travel,Night
3872,4681,ATM Withdrawal,Travel,Afternoon
3873,1175,POS,Cash,Night
3874,2259,POS,Travel,Night
3875,424,Online,Dining,Night
3876,2278,POS,Travel,Evening
3877,1114,ATM Withdrawal,Dining,Afternoon
3878,4868,POS,Clothing,Morning
3879,4668,Bank Transfer,Cash,Morning
3880,3366,Bank Transfer,Groceries,Afternoon
3881,2426,Online,Electronics,Night
3882,1944,ATM Withdrawal,Electronics,Night
3883,213,POS,Clothing,Morning
3884,78,POS,Travel,Evening
3885,525,POS,Groceries,Afternoon
3886,3573,Bank Transfer,Clothing,Night
3887,4466,ATM Withdrawal,Clothing,Evening
3888,1474,POS,Electronics,Evening
3889,1662,Online,Dining,Night
3890,716,ATM Withdrawal,Dining,Afternoon
3891,1635,ATM Withdrawal,Travel,Afternoon
3892,4762,POS,Travel,Morning
3893,3795,Bank Transfer,Clothing,Morning
3894,1355,ATM Withdrawal,Travel,Afternoon
3895,353,Online,Dining,Night
3896,3796,ATM Withdrawal,Groceries,Afternoon
3897,545,Bank Transfer,Electronics,Morning
3898,364,Online,Dining,Morning
3899,3552,Bank Transfer,Cash,Morning
3900,992,POS,Travel,Afternoon
3901,1355,ATM Withdrawal,Electronics,Afternoon
3902,3019,Online,Cash,Night
3903,536,Bank Transfer,Electronics,Morning
3904,940,POS,Clothing,Evening
3905,2766,Online,Travel,Evening
3906,2292,ATM Withdrawal,Clothing,Night
3907,1956,ATM Withdrawal,Electronics,Night
3908,3937,Bank Transfer,Clothing,Morning
3909,2551,Online,Travel,Afternoon
3910,1926,POS,Dining,Afternoon
3911,3370,POS,Groceries,Evening
3912,1603,POS,Cash,Morning
3913,2935,Bank Transfer,Dining,Evening
3914,3635,POS,Electronics,Evening
3915,1233,Online,Dining,Morning
3916,1969,Bank Transfer,Clothing,Night
3917,975,ATM Withdrawal,Travel,Evening
3918,3688,Bank Transfer,Dining,Night
3919,4322,Bank Transfer,Dining,Afternoon
3920,632,Bank Transfer,Travel,Evening
3921,4458,Online,Clothing,Morning
3922,4797,ATM Withdrawal,Groceries,Night
3923,4736,ATM Withdrawal,Dining,Afternoon
3924,2382,Bank Transfer,Cash,Afternoon
3925,2958,Bank Transfer,Electronics,Evening
3926,3309,Bank Transfer,Clothing,Afternoon
3927,1178,Online,Clothing,Morning
3928,4759,Online,Dining,Evening
3929,401,POS,Cash,Afternoon
3930,3819,ATM Withdrawal,Travel,Morning
3931,2417,POS,Dining,Night
3932,4874,POS,Dining,Night
3933,4902,Bank Transfer,Travel,Evening
3934,4270,Online,Electronics,Morning
3935,4838,POS,Travel,Afternoon
3936,590,POS,Dining,Evening
3937,830,POS,Groceries,Evening
3938,1257,Bank Transfer,Travel,Afternoon
3939,133,Bank Transfer,Electronics,Morning
3940,4449,Online,Travel,Afternoon
